# 3D harmonic oscillator
# eigenvalue = 1.499721e+00

#   r       u(r)
0.000000 0.000000
0.060000 1.312080e-02
0.120000 2.617081e-02
0.180000 3.907985e-02
0.240000 5.177905e-02
0.300000 6.420137e-02
0.360000 7.628228e-02
0.420000 8.796023e-02
0.480000 9.917725e-02
0.540000 1.098794e-01
0.600000 1.200171e-01
0.660000 1.295457e-01
0.720000 1.384258e-01
0.780000 1.466230e-01
0.840000 1.541089e-01
0.900000 1.608606e-01
0.960000 1.668611e-01
1.020000 1.720992e-01
1.080000 1.765692e-01
1.140000 1.802713e-01
1.200000 1.832109e-01
1.260000 1.853988e-01
1.320000 1.868507e-01
1.380000 1.875868e-01
1.440000 1.876316e-01
1.500000 1.870136e-01
1.560000 1.857645e-01
1.620000 1.839194e-01
1.680000 1.815158e-01
1.740000 1.785932e-01
1.800000 1.751930e-01
1.860000 1.713578e-01
1.920000 1.671310e-01
1.980000 1.625564e-01
2.040000 1.576776e-01
2.100000 1.525382e-01
2.160000 1.471806e-01
2.220000 1.416464e-01
2.280000 1.359758e-01
2.340000 1.302071e-01
2.400000 1.243772e-01
2.460000 1.185205e-01
2.520000 1.126695e-01
2.580000 1.068541e-01
2.640000 1.011019e-01
2.700000 9.543802e-02
2.760000 8.988507e-02
2.820000 8.446306e-02
2.880000 7.918956e-02
2.940000 7.407965e-02
3.000000 6.914608e-02
3.060000 6.439927e-02
3.120000 5.984747e-02
3.180000 5.549688e-02
3.240000 5.135175e-02
3.300000 4.741454e-02
3.360000 4.368604e-02
3.420000 4.016556e-02
3.480000 3.685104e-02
3.540000 3.373921e-02
3.600000 3.082576e-02
3.660000 2.810542e-02
3.720000 2.557219e-02
3.780000 2.321938e-02
3.840000 2.103980e-02
3.900000 1.902585e-02
3.960000 1.716962e-02
4.020000 1.546301e-02
4.080000 1.389782e-02
4.140000 1.246581e-02
4.200000 1.115879e-02
4.260000 9.968679e-03
4.320000 8.887565e-03
4.380000 7.907744e-03
4.440000 7.021764e-03
4.500000 6.222456e-03
4.560000 5.502956e-03
4.620000 4.856730e-03
4.680000 4.277580e-03
4.740000 3.759656e-03
4.800000 3.297456e-03
4.860000 2.885830e-03
4.920000 2.519969e-03
4.980000 2.195403e-03
5.040000 1.907985e-03
5.100000 1.653886e-03
5.160000 1.429573e-03
5.220000 1.231798e-03
5.280000 1.057582e-03
5.340000 9.041903e-04
5.400000 7.691225e-04
5.460000 6.500870e-04
5.520000 5.449839e-04
5.580000 4.518836e-04
5.640000 3.690067e-04
5.700000 2.947017e-04
5.760000 2.274229e-04
5.820000 1.657071e-04
5.880000 1.081483e-04
5.940000 5.337083e-05
