# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.01
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e-01  0.000000000000000e+00
0.1000  9.354891748673760e-02  8.090170388185990e-01  3.272542845494072e-01  1.727457111798604e-01
0.2000  1.513653364196118e-01  3.090171467390936e-01  4.774579848938525e-02  4.522541929691501e-01
0.3000  1.513653558122579e-01  -3.090167579103404e-01  4.774567833470898e-02  4.522543088530941e-01
0.4000  9.354896875118293e-02  -8.090167889595297e-01  3.272540824091941e-01  1.727459005078769e-01
0.5000  6.484785521933267e-08  -9.999999786462556e-01  4.999999786462558e-01  8.300819582589914e-14
0.6000  -9.354886302609813e-02  -8.090172610367705e-01  3.272544643277190e-01  1.727455100478878e-01
0.7000  -1.513653131482959e-01  -3.090175276494121e-01  4.774591619727758e-02  4.522540539075972e-01
0.8000  -1.513653726191149e-01  3.090163638026345e-01  4.774555654890109e-02  4.522544092852419e-01
0.9000  -9.354901921656580e-02  8.090165321901465e-01  3.272538746784852e-01  1.727460868849257e-01
1.0000  -1.296957076735161e-07  9.999999572923460e-01  4.999999572923469e-01  3.320327691455311e-13
1.1000  9.354880856544544e-02  8.090174832547981e-01  3.272546441059637e-01  1.727453089159833e-01
1.2000  1.513652898769559e-01  3.090179085596627e-01  4.774603390529403e-02  4.522539148459211e-01
1.3000  1.513653894259458e-01  -3.090159696948940e-01  4.774543476323783e-02  4.522545097172455e-01
1.4000  9.354906968193093e-02  -8.090162754206395e-01  3.272536669477420e-01  1.727462732620096e-01
1.5000  1.945435573556115e-07  -9.999999359382706e-01  4.999999359382727e-01  7.470736986685056e-13
1.6000  -9.354875410477946e-02  -8.090177054726811e-01  3.272548238841410e-01  1.727451077841469e-01
1.7000  -1.513652666055916e-01  -3.090182894698454e-01  4.774615161343460e-02  4.522537757841215e-01
1.8000  -1.513654062327508e-01  3.090155755871189e-01  4.774531297771920e-02  4.522546101491052e-01
1.9000  -9.354912014727826e-02  8.090160186510086e-01  3.272534592169645e-01  1.727464596391283e-01
2.0000  -2.593914042361284e-07  9.999999145840295e-01  4.999999145840331e-01  1.328130962802442e-12
2.1000  9.354869964410029e-02  8.090179276904200e-01  3.272550036622509e-01  1.727449066523789e-01
2.2000  1.513652433342031e-01  3.090186703799606e-01  4.774626932169936e-02  4.522536367221987e-01
2.3000  1.513654230395300e-01  -3.090151814793092e-01  4.774519119234521e-02  4.522547105808215e-01
2.4000  9.354917061260790e-02  -8.090157618812539e-01  3.272532514861529e-01  1.727466460162821e-01
2.5000  3.242392483705780e-07  -9.999998932296226e-01  4.999998932296283e-01  2.075204540741027e-12
2.6000  -9.354864518340779e-02  -8.090181499080147e-01  3.272551834402935e-01  1.727447055206787e-01
2.7000  -1.513652200627903e-01  -3.090190512900080e-01  4.774638703008828e-02  4.522534976601524e-01
2.8000  -1.513654398462831e-01  3.090147873714648e-01  4.774506940711581e-02  4.522548110123938e-01
2.9000  -9.354922107791983e-02  8.090155051113758e-01  3.272530437553072e-01  1.727468323934712e-01
3.0000  -3.890870897364090e-07  9.999998718750506e-01  4.999998718750588e-01  2.988294411047317e-12
3.1000  9.354859072270209e-02  8.090183721254652e-01  3.272553632182689e-01  1.727445043890469e-01
3.2000  1.513651967913534e-01  3.090194321999876e-01  4.774650473860137e-02  4.522533585979832e-01
3.3000  1.513654566530104e-01  -3.090143932635858e-01  4.774494762203102e-02  4.522549114438225e-01
3.4000  9.354927154321400e-02  -8.090152483413735e-01  3.272528360244271e-01  1.727470187706952e-01
3.5000  4.539349283388255e-07  -9.999998505203125e-01  4.999998505203236e-01  4.067400552550836e-12
3.6000  -9.354853626198310e-02  -8.090185943427717e-01  3.272555429961771e-01  1.727443032574831e-01
3.7000  -1.513651735198923e-01  -3.090198131098997e-01  4.774662244723868e-02  4.522532195356905e-01
3.8000  -1.513654734597118e-01  3.090139991556721e-01  4.774482583709087e-02  4.522550118751074e-01
3.9000  -9.354932200849043e-02  8.090149915712478e-01  3.272526282935130e-01  1.727472051479542e-01
4.0000  -5.187827641587456e-07  9.999998291654093e-01  4.999998291654239e-01  5.312522943636999e-12
4.1000  9.354848180125093e-02  8.090188165599339e-01  3.272557227740180e-01  1.727441021259877e-01
4.2000  1.513651502484070e-01  3.090201940197440e-01  4.774674015600010e-02  4.522530804732751e-01
4.3000  1.513654902663872e-01  -3.090136050477240e-01  4.774470405229538e-02  4.522551123062489e-01
4.4000  9.354937247374920e-02  -8.090147348009984e-01  3.272524205625649e-01  1.727473915252485e-01
4.5000  5.836305972325984e-07  -9.999998078103405e-01  4.999998078103590e-01  6.723661563774843e-12
4.6000  -9.354842734050545e-02  -8.090190387769518e-01  3.272559025517915e-01  1.727439009945602e-01
4.7000  -1.513651269768974e-01  -3.090205749295206e-01  4.774685786488572e-02  4.522529414107356e-01
4.8000  -1.513655070730367e-01  3.090132109397410e-01  4.774458226764443e-02  4.522552127372461e-01
4.9000  -9.354942293899017e-02  8.090144780306250e-01  3.272522128315823e-01  1.727475779025776e-01
5.0000  -6.484784275291589e-07  9.999997864551059e-01  4.999997864551287e-01  8.300816391074443e-12
5.1000  9.354837287974675e-02  8.090192609938259e-01  3.272560823294981e-01  1.727436998632011e-01
5.2000  1.513651037053637e-01  3.090209558392294e-01  4.774697557389548e-02  4.522528023480731e-01
5.3000  1.513655238796603e-01  -3.090128168317235e-01  4.774446048313816e-02  4.522553131681001e-01
5.4000  9.354947340421349e-02  -8.090142212601282e-01  3.272520051005658e-01  1.727477642799421e-01
5.5000  7.133262550675090e-07  -9.999997650997061e-01  4.999997650997337e-01  1.004398740474281e-11
5.6000  -9.354831841897480e-02  -8.090194832105557e-01  3.272562621071373e-01  1.727434987319100e-01
5.7000  -1.513650804338057e-01  -3.090213367488707e-01  4.774709328302947e-02  4.522526632852874e-01
5.8000  -1.513655406862580e-01  3.090124227236713e-01  4.774433869877646e-02  4.522554135988101e-01
5.9000  -9.354952386941905e-02  8.090139644895074e-01  3.272517973695149e-01  1.727479506573416e-01
6.0000  -7.781740798597919e-07  9.999997437441402e-01  4.999997437441731e-01  1.195317458396920e-11
6.1000  9.354826395818955e-02  8.090197054271412e-01  3.272564418847091e-01  1.727432976006870e-01
6.2000  1.513650571622236e-01  3.090217176584443e-01  4.774721099228764e-02  4.522525242223784e-01
6.3000  1.513655574928298e-01  -3.090120286155844e-01  4.774421691455936e-02  4.522555140293764e-01
6.4000  9.354957433460689e-02  -8.090137077187629e-01  3.272515896384300e-01  1.727481370347761e-01
6.5000  8.430219018973339e-07  -9.999997223884091e-01  4.999997223884476e-01  1.402837790737441e-11
6.6000  -9.354820949739105e-02  -8.090199276435829e-01  3.272566216622140e-01  1.727430964695321e-01
6.7000  -1.513650338906172e-01  -3.090220985679504e-01  4.774732870167002e-02  4.522523851593461e-01
6.8000  -1.513655742993757e-01  3.090116345074629e-01  4.774409513048691e-02  4.522556144597993e-01
6.9000  -9.354962479977696e-02  8.090134509478946e-01  3.272513819073107e-01  1.727483234122456e-01
7.0000  -9.078697211107462e-07  9.999997010325122e-01  4.999997010325569e-01  1.626959735131429e-11
7.1000  9.354815503657934e-02  8.090201498598799e-01  3.272568014396513e-01  1.727428953384455e-01
7.2000  1.513650106189866e-01  3.090224794773884e-01  4.774744641117646e-02  4.522522460961906e-01
7.3000  1.513655911058956e-01  -3.090112403993071e-01  4.774397334655917e-02  4.522557148900784e-01
7.4000  9.354967526492933e-02  -8.090131941769030e-01  3.272511741761577e-01  1.727485097897501e-01
7.5000  9.727175375416619e-07  -9.999996796764501e-01  4.999996796765014e-01  1.867683289569757e-11
7.6000  -9.354810057575444e-02  -8.090203720760331e-01  3.272569812170215e-01  1.727426942074272e-01
