# omega0=0.689, alpha=0.2
# theta0=0.4, theta_dot0=0
# t_start=0, t_end=100, h=0.00911928
#   t          x(t)                 v(t)       
40.0975 1.165697580512415e+00 -2.770989428230303e-01
4.018867583271454e+01 1.138191255150904e+00 -3.260382905949965e-01
4.027986865284777e+01 1.106257012220211e+00 -3.741832486630260e-01
4.037106147298100e+01 1.069974829594743e+00 -4.213662947288790e-01
4.046225429311423e+01 1.029440586801244e+00 -4.674061576115872e-01
4.055344711324746e+01 9.847673229818248e-01 -5.121078193907190e-01
4.064463993338069e+01 9.360864680395272e-01 -5.552631126815529e-01
4.073583275351392e+01 8.835489897726124e-01 -5.966519751283595e-01
4.082702557364715e+01 8.273263947992641e-01 -6.360444075447372e-01
4.091821839378038e+01 7.676115178482485e-01 -6.732031586877379e-01
4.100941121391361e+01 7.046190332686082e-01 -7.078871282189751e-01
4.110060403404684e+01 6.385856250974008e-01 -7.398554406762992e-01
4.119179685418007e+01 5.697697583116711e-01 -7.688720990359825e-01
4.128298967431330e+01 4.984510043566904e-01 -7.947110796287455e-01
4.137418249444653e+01 4.249288887463155e-01 -8.171616847878800e-01
4.146537531457976e+01 3.495212471293282e-01 -8.360339304211926e-01
4.155656813471299e+01 2.725620979132274e-01 -8.511637177295783e-01
4.164776095484622e+01 1.943990630956464e-01 -8.624175261381964e-01
4.173895377497945e+01 1.153903927637378e-01 -8.696963715814383e-01
4.183014659511268e+01 3.590167094234138e-02 -8.729388021462856e-01
4.192133941524591e+01 -4.369770077617437e-02 -8.721227509426210e-01
4.201253223537914e+01 -1.230381317969365e-01 -8.672661306594638e-01
4.210372505551237e+01 -2.017534661195689e-01 -8.584261300878541e-01
4.219491787564560e+01 -2.794844838270220e-01 -8.456972528877221e-01
4.228611069577883e+01 -3.558821705427260e-01 -8.292082153806460e-01
4.237730351591206e+01 -4.306106586884974e-01 -8.091178859544826e-01
4.246849633604529e+01 -5.033497634179882e-01 -7.856104980039467e-01
4.255968915617852e+01 -5.737970587450630e-01 -7.588903975990510e-01
4.265088197631175e+01 -6.416694637332483e-01 -7.291765951615613e-01
4.274207479644498e+01 -7.067043327722973e-01 -6.966973786431970e-01
4.283326761657821e+01 -7.686600662654501e-01 -6.616852173197234e-01
4.292446043671144e+01 -8.273162771749885e-01 -6.243721449268582e-01
4.301565325684467e+01 -8.824735639615731e-01 -5.849857635944788e-01
4.310684607697790e+01 -9.339529511070540e-01 -5.437459608484976e-01
4.319803889711113e+01 -9.815950646568085e-01 -5.008623850937451e-01
4.328923171724436e+01 -1.025259112423149e+00 -4.565326836584142e-01
4.338042453737759e+01 -1.064821737260132e+00 -4.109414736769438e-01
4.347161735751082e+01 -1.100175807886509e+00 -3.642599906831244e-01
4.356281017764405e+01 -1.131229205865791e+00 -3.166463426865444e-01
4.365400299777728e+01 -1.157903660275301e+00 -2.682462879012850e-01
4.374519581791051e+01 -1.180133673937634e+00 -2.191944509108961e-01
4.383638863804374e+01 -1.197865577347631e+00 -1.696158933844581e-01
4.392758145817697e+01 -1.211056738965173e+00 -1.196279599629408e-01
4.401877427831020e+01 -1.219674953581434e+00 -6.934232617092885e-02
4.410996709844343e+01 -1.223698024102594e+00 -1.886718192224352e-02
