# uniform1 uniform2 gaussian1 gaussian2
  0.005761 0.379972 -0.184090 -0.502985
  0.555537 0.605197 -0.748626 -0.897324
  0.206297 0.889452 0.060558 0.349981
  0.785698 0.582468 -0.138023 0.661714
  0.441172 0.467214 -0.011060 0.509788
  0.823915 0.005369 -0.520867 0.617206
  0.282529 0.570388 1.387414 0.253095
  0.288546 0.085021 -0.300497 -0.183831
  0.657871 0.171550 -0.616321 0.222151
  0.087512 0.388478 0.931206 0.158822
  0.705381 0.921053 -0.842963 0.807629
  0.928559 0.431354 1.441115 -0.187702
  0.212204 0.143947 1.421632 -0.500387
  0.243600 0.516505 -0.602062 -0.156729
  0.217503 0.305614 0.898704 0.209636
  0.963374 0.563746 0.654315 1.277343
  0.122604 0.781810 0.621632 0.598071
  0.957943 0.056594 -0.789332 0.000417
  0.903381 0.713384 -0.462312 0.812652
  0.691945 0.836223 -0.280410 -0.400341
  0.601746 0.632326 0.258795 -1.334278
  0.608425 0.586517 -0.206072 0.589805
  0.670998 0.981508 0.118740 -0.546356
  0.305369 0.643965 1.895543 0.164484
  0.627430 0.970150 -1.219545 -1.447258
  0.279556 0.211736 0.659676 -0.845917
  0.354600 0.189113 -0.323631 -0.065466
  0.568938 0.737732 -1.632559 1.462539
  0.054529 0.612297 0.135049 1.103463
  0.741974 0.412820 -1.500071 1.083985
  0.332608 0.106483 -1.839754 1.011713
  0.045159 0.882845 -0.796358 -1.352664
  0.403934 0.493592 0.789455 0.522229
  0.740842 0.659304 -0.609327 0.888287
  0.554809 0.730983 -0.218460 0.235036
  0.647509 0.442048 0.266358 -0.020866
  0.673701 0.143172 1.081905 0.816092
  0.035433 0.741271 -0.333261 0.157007
  0.267502 0.834165 -0.176048 -1.354928
  0.029390 0.607457 0.933151 -0.969858
  0.958866 0.915714 -0.095093 -0.918520
  0.865505 0.585798 -0.719553 0.463529
  0.501844 0.942144 -1.576335 -0.807603
  0.912346 0.677458 1.497026 -0.351840
  0.706531 0.522310 0.089720 -0.211819
  0.938372 0.137997 1.971907 1.140564
  0.079967 0.597077 -0.279269 -0.308615
  0.216480 0.424402 -1.710371 0.352420
  0.246170 0.956616 -0.076096 -3.279122
  0.545723 0.741373 -1.020544 -0.641255
  0.570085 0.209484 0.258868 0.163774
  0.829398 0.038743 -0.942788 0.127466
  0.403564 0.197422 -0.916871 -0.417062
  0.545507 0.028307 1.264961 -0.660780
  0.132373 0.941577 1.492153 -0.125599
  0.921638 0.092693 0.163573 -0.049812
  0.168527 0.851580 -1.629642 1.195045
  0.826935 0.371235 0.058043 0.997108
  0.382633 0.986170 -0.901738 0.979719
  0.655498 0.216135 0.115582 1.538428
  0.841456 0.296806 2.059168 -0.005283
  0.402102 0.736610 -0.246661 0.864088
  0.817328 0.596061 0.329360 1.811594
  0.917376 0.860691 -0.974600 0.208484
  0.040936 0.773839 -0.454081 0.402021
  0.672692 0.678831 0.335766 0.350120
  0.528786 0.091539 0.189579 -0.626537
  0.697015 0.362443 0.202173 0.558297
  0.206139 0.458995 -0.667953 0.423483
  0.582870 0.839768 1.132139 0.709975
  0.992296 0.799148 2.065942 -0.876840
  0.417382 0.734364 0.500970 0.859370
  0.913736 0.282740 -1.053744 0.438713
  0.726326 0.547152 -0.641782 -1.232311
  0.171097 0.177439 -1.539636 1.294367
  0.937965 0.069670 -0.806281 0.224512
  0.219136 0.006990 -1.411078 -1.503329
  0.852329 0.551321 -0.410986 -1.894309
  0.081359 0.815871 1.600512 -0.482334
  0.144032 0.849023 -0.523164 0.846315
  0.197573 0.068289 -0.590769 -1.328801
  0.335926 0.209143 0.122926 -1.256322
  0.752805 0.489036 -0.317518 0.144764
  0.604152 0.741744 -0.103119 1.010891
  0.648669 0.757719 -0.611036 -1.450806
  0.853116 0.125440 -0.988099 -0.160913
  0.026449 0.487143 0.016358 0.640367
  0.317153 0.624093 1.046035 -0.808294
  0.660818 0.671182 0.342435 1.709785
  0.986927 0.449427 0.601697 -0.365418
  0.885793 0.053336 0.768872 0.974344
  0.962908 0.195855 1.003576 -1.382866
  0.563641 0.763253 0.320997 -1.300321
  0.671138 0.333942 2.021386 1.602589
  0.249626 0.127397 0.361046 0.473059
  0.870868 0.104952 -0.306933 0.534515
  0.675257 0.277274 1.260019 2.534051
  0.102390 0.034442 1.212630 -1.571504
  0.227617 0.859328 -1.682309 -1.024011
  0.742510 0.393717 -1.084610 -0.177193
