# Ising model in 2dimensions at kT = 1
#  time     energy  
      0     -298.000
      1     -386.000
      2     -444.000
      3     -484.000
      4     -500.000
      5     -518.000
      6     -532.000
      7     -538.000
      8     -534.000
      9     -546.000
     10     -570.000
     11     -578.000
     12     -574.000
     13     -590.000
     14     -590.000
     15     -572.000
     16     -596.000
     17     -586.000
     18     -604.000
     19     -618.000
     20     -632.000
     21     -628.000
     22     -636.000
     23     -624.000
     24     -638.000
     25     -636.000
     26     -646.000
     27     -652.000
     28     -652.000
     29     -654.000
     30     -660.000
     31     -662.000
     32     -666.000
     33     -664.000
     34     -658.000
     35     -672.000
     36     -672.000
     37     -664.000
     38     -656.000
     39     -654.000
     40     -658.000
     41     -656.000
     42     -666.000
     43     -668.000
     44     -670.000
     45     -668.000
     46     -664.000
     47     -666.000
     48     -672.000
     49     -676.000
     50     -674.000
     51     -662.000
     52     -664.000
     53     -666.000
     54     -660.000
     55     -668.000
     56     -664.000
     57     -676.000
     58     -668.000
     59     -666.000
     60     -664.000
     61     -672.000
     62     -670.000
     63     -664.000
     64     -672.000
     65     -672.000
     66     -668.000
     67     -676.000
     68     -670.000
     69     -684.000
     70     -678.000
     71     -666.000
     72     -676.000
     73     -674.000
     74     -672.000
     75     -670.000
     76     -678.000
     77     -680.000
     78     -678.000
     79     -672.000
     80     -672.000
     81     -680.000
     82     -672.000
     83     -680.000
     84     -678.000
     85     -676.000
     86     -684.000
     87     -680.000
     88     -674.000
     89     -680.000
     90     -678.000
     91     -676.000
     92     -666.000
     93     -676.000
     94     -678.000
     95     -666.000
     96     -672.000
     97     -688.000
     98     -680.000
     99     -684.000
    100     -678.000
    110     -684.000
    120     -680.000
    130     -696.000
    140     -694.000
    150     -702.000
    160     -702.000
    170     -702.000
    180     -712.000
    190     -720.000
    200     -694.000
    210     -714.000
    220     -716.000
    230     -716.000
    240     -708.000
    250     -716.000
    260     -714.000
    270     -706.000
    280     -716.000
    290     -702.000
    300     -696.000
    310     -718.000
    320     -716.000
    330     -708.000
    340     -708.000
    350     -716.000
    360     -710.000
    370     -708.000
    380     -708.000
    390     -716.000
    400     -710.000
    410     -716.000
    420     -708.000
    430     -704.000
    440     -708.000
    450     -706.000
    460     -716.000
    470     -710.000
    480     -706.000
    490     -712.000
    500     -710.000
    510     -714.000
    520     -714.000
    530     -714.000
    540     -710.000
    550     -710.000
    560     -704.000
    570     -712.000
    580     -696.000
    590     -708.000
    600     -710.000
    610     -718.000
    620     -706.000
    630     -702.000
    640     -718.000
    650     -706.000
    660     -718.000
    670     -716.000
    680     -702.000
    690     -712.000
    700     -716.000
    710     -714.000
    720     -712.000
    730     -712.000
    740     -714.000
    750     -716.000
    760     -710.000
    770     -708.000
    780     -714.000
    790     -712.000
    800     -716.000
    810     -718.000
    820     -716.000
    830     -702.000
    840     -716.000
    850     -718.000
    860     -714.000
    870     -710.000
    880     -712.000
    890     -704.000
    900     -720.000
    910     -714.000
    920     -712.000
    930     -714.000
    940     -716.000
    950     -712.000
    960     -712.000
    970     -706.000
    980     -712.000
    990     -714.000
