# Ising model in 2dimensions at kT = 10
#  time     energy  
      0        8.000
      1        8.000
      2        8.000
      3        8.000
      4        8.000
      5        8.000
      6        8.000
      7        8.000
      8        8.000
      9        8.000
     10        8.000
     11        8.000
     12        8.000
     13        8.000
     14        8.000
     15        8.000
     16        8.000
     17        8.000
     18        8.000
     19        8.000
     20        8.000
     21        8.000
     22        8.000
     23        8.000
     24        8.000
     25        8.000
     26        8.000
     27        8.000
     28        8.000
     29        8.000
     30        8.000
     31        8.000
     32        8.000
     33        8.000
     34        8.000
     35        8.000
     36        8.000
     37        8.000
     38        8.000
     39        8.000
     40        8.000
     41        8.000
     42        8.000
     43        8.000
     44        8.000
     45        8.000
     46        8.000
     47        8.000
     48        8.000
     49        8.000
     50        8.000
     51        8.000
     52        8.000
     53        8.000
     54        8.000
     55        8.000
     56        8.000
     57        8.000
     58        8.000
     59        8.000
     60        8.000
     61        8.000
     62        8.000
     63        8.000
     64        8.000
     65        8.000
     66        8.000
     67        8.000
     68        8.000
     69        8.000
     70        8.000
     71        8.000
     72        8.000
     73        8.000
     74        8.000
     75        8.000
     76        8.000
     77        8.000
     78        8.000
     79        8.000
     80        8.000
     81        8.000
     82        8.000
     83        8.000
     84        8.000
     85        8.000
     86        8.000
     87        8.000
     88        8.000
     89        8.000
     90        8.000
     91        8.000
     92        8.000
     93        8.000
     94        8.000
     95        8.000
     96        8.000
     97        8.000
     98        8.000
     99        8.000
    100        8.000
    110        8.000
    120        8.000
    130        8.000
    140        8.000
    150        8.000
    160        8.000
    170        8.000
    180        8.000
    190        8.000
    200        8.000
    210        8.000
    220        8.000
    230        8.000
    240        8.000
    250        8.000
    260        8.000
    270        8.000
    280        8.000
    290        8.000
    300        8.000
    310        8.000
    320        8.000
    330        8.000
    340        8.000
    350        8.000
    360        8.000
    370        8.000
    380        8.000
    390        8.000
    400        8.000
    410        8.000
    420        8.000
    430        8.000
    440        8.000
    450        8.000
    460        8.000
    470        8.000
    480        8.000
    490        8.000
    500        8.000
    510        8.000
    520        8.000
    530        8.000
    540        8.000
    550        8.000
    560        8.000
    570        8.000
    580        8.000
    590        8.000
    600        8.000
    610        8.000
    620        8.000
    630        8.000
    640        8.000
    650        8.000
    660        8.000
    670        8.000
    680        8.000
    690        8.000
    700        8.000
    710        8.000
    720        8.000
    730        8.000
    740        8.000
    750        8.000
    760        8.000
    770        8.000
    780        8.000
    790        8.000
    800        8.000
    810        8.000
    820        8.000
    830        8.000
    840        8.000
    850        8.000
    860        8.000
    870        8.000
    880        8.000
    890        8.000
    900        8.000
    910        8.000
    920        8.000
    930        8.000
    940        8.000
    950        8.000
    960        8.000
    970        8.000
    980        8.000
    990        8.000
