    x     y_exact   y_spline   y'_exact  y'_spline  y''_exact  y''_spline
0  0.000000  10.600000  0.000000  0.051155  2.000000  0.000000
5  -0.132352  10.888746  9.912028  0.070937  15.217581  0.007913
10  -0.506366  11.375305  17.246377  0.130281  204.270894  0.015825
15  -0.930095  12.257492  11.019581  0.229188  837.820029  0.023738
20  -0.850919  13.733119  -21.011854  0.367657  1360.420383  0.031650
25  0.176016  16.000000  -49.219363  0.545689  -442.009457  0.039563
30  0.997803  19.246935  3.974802  0.757876  -3591.959295  0.045312
35  -0.219337  23.626671  68.295441  0.998809  1076.702737  0.051061
40  -0.801225  29.282939  -47.869077  1.268489  5126.641933  0.056811
45  0.970492  36.359471  -21.702112  1.566915  -7861.464928  0.062560
50  -0.650128  45.000000  75.982511  1.894088  6502.794886  0.068309
55  0.346395  55.098712  -103.189764  2.100279  -4193.255261  0.014167
60  -0.262084  65.551611  115.805409  2.035762  3775.939100  -0.039974
65  0.427856  75.005153  -117.500114  1.700537  -7232.569816  -0.094116
70  -0.773623  82.105797  88.710404  1.094603  15164.284730  -0.148258
75  0.999766  85.500000  3.246684  0.217960  -22494.685614  -0.202399
80  -0.544476  84.260616  -134.204195  -0.673553  13936.915974  -0.154206
85  -0.615565  79.166085  133.974581  -1.324098  17791.417514  -0.106012
90  0.827218  71.421247  101.138483  -1.733676  -26800.753738  -0.057819
95  0.714349  62.230940  -132.959976  -1.902286  -25789.408049  -0.009625
100  -0.305614  52.800000  -190.431074  -1.829929  12222.671245  0.038568
105  -0.913326  44.138825  -85.518039  -1.633268  40276.870721  0.040096
110  -0.987873  36.480047  34.158082  -1.428970  47813.364291  0.041623
115  -0.893496  29.861857  103.286203  -1.217033  47266.855201  0.043151
120  -0.872709  24.322444  117.177677  -0.997459  50269.027796  0.044679
125  -0.958547  19.900000  71.233452  -0.770246  59909.769588  0.046206
130  -0.980525  16.592083  -51.062708  -0.559774  66283.087436  0.037982
135  -0.581862  14.233725  -219.587598  -0.390422  42416.126966  0.029758
140  0.386253  12.619325  -258.270018  -0.262191  -30284.071783  0.021534
145  0.994083  11.543284  31.499633  -0.175079  -83602.197332  0.013310
150  -0.086477  10.800000  298.876158  -0.129088  7784.910195  0.005086
155  -0.946101  10.210842  -100.400058  -0.108035  90919.677335  0.003335
160  0.743664  9.705053  -213.937177  -0.095740  -76152.519305  0.001583
165  -0.041924  9.238842  329.709869  -0.092204  4567.491195  -0.000168
170  -0.469902  8.768421  -300.124341  -0.097425  54318.892846  -0.001920
175  0.685152  8.250000  254.939934  -0.111404  -83929.703514  -0.003672
180  -0.685262  7.650147  -262.186753  -0.127926  88808.512477  -0.002937
185  0.470301  6.976863  326.527252  -0.140776  -64382.438460  -0.002203
190  0.041171  6.248505  -379.677807  -0.149955  -5947.056117  -0.001469
195  -0.742958  5.483432  261.041785  -0.155462  113005.268080  -0.000734
